query,target,window,pred,gt,signed_score_pct,direction
Set Count (Window),setting,53,7,0,+100.0,over
Set Count (Window),setting,54,4,0,+100.0,over
Set Count (Window),setting,55,4,3,+14.3,over
Set Count (Window),setting,56,4,17,-61.9,under
Set Count (Window),setting,57,4,0,+100.0,over
Set Count (Window),setting,58,4,0,+100.0,over
Set Count (Window),setting,59,3,0,+100.0,over
Set Count (Window),setting,60,2,0,+100.0,over
Set Count (Window),setting,61,3,0,+100.0,over
Set Count (Window),setting,62,5,0,+100.0,over
Set Count (Window),setting,63,4,0,+100.0,over
Set Count (Window),setting,64,0,0,+0.0,exact
Set Count (Window),setting,65,0,0,+0.0,exact
Set Count (Window),setting,66,0,0,+0.0,exact
Set Count (Window),setting,67,2,0,+100.0,over
Set Count (Window),setting,68,1,0,+100.0,over
Set Count (Window),setting,69,2,0,+100.0,over
Set Count (Window),setting,70,6,16,-45.5,under
Set Count (Window),setting,71,0,4,-100.0,under
Set Count (Window),setting,72,0,0,+0.0,exact
Set Count (Window),setting,73,2,0,+100.0,over
Set Count (Window),setting,74,2,0,+100.0,over
Set Count (Window),setting,75,0,0,+0.0,exact
Set Count (Window),setting,76,0,0,+0.0,exact
Set Count (Window),setting,77,1,0,+100.0,over
Set Count (Window),setting,78,1,0,+100.0,over
Set Count (Window),setting,79,0,0,+0.0,exact
Set Count (Window),setting,80,4,0,+100.0,over
Set Count (Window),setting,81,8,0,+100.0,over
Set Count (Window),setting,82,4,10,-42.9,under
Set Count (Window),setting,83,1,10,-81.8,under
Set Count (Window),setting,84,1,0,+100.0,over
Set Count (Window),setting,85,2,0,+100.0,over
Set Count (Window),setting,86,2,0,+100.0,over
Set Count (Window),setting,87,2,0,+100.0,over
Set Count (Window),setting,88,0,0,+0.0,exact
Set Count (Window),setting,89,1,0,+100.0,over
Set Count (Window),setting,90,4,0,+100.0,over
Set Count (Window),setting,91,8,0,+100.0,over
Set Count (Window),setting,92,5,5,+0.0,exact
Set Count (Window),setting,93,1,15,-87.5,under
Set Count (Window),setting,94,4,0,+100.0,over
Set Count (Window),setting,95,3,0,+100.0,over
Set Count (Window),setting,96,4,2,+33.3,over
Set Count (Window),setting,97,4,17,-61.9,under
Set Count (Window),setting,98,0,0,+0.0,exact
Set Count (Window),setting,99,0,0,+0.0,exact
Set Count (Window),setting,100,1,0,+100.0,over
Set Count (Window),setting,101,0,0,+0.0,exact
Set Count (Window),setting,102,0,0,+0.0,exact
Set Count (Window),setting,103,3,20,-73.9,under
Set Count (Window),setting,104,0,0,+0.0,exact
Set Count (Window),setting,105,3,0,+100.0,over
Set Count (Window),setting,106,2,0,+100.0,over
Set Count (Window),setting,107,3,0,+100.0,over
Set Count (Window),setting,108,0,0,+0.0,exact
Set Count (Window),setting,109,0,0,+0.0,exact
Set Count (Window),setting,110,0,0,+0.0,exact
Set Count (Window),setting,111,6,16,-45.5,under
Set Count (Window),setting,112,1,4,-60.0,under
Set Count (Window),setting,113,1,0,+100.0,over
Set Count (Window),setting,114,0,0,+0.0,exact
Set Count (Window),setting,115,0,0,+0.0,exact
Set Count (Window),setting,116,0,0,+0.0,exact
Set Count (Window),setting,117,0,0,+0.0,exact
Set Count (Window),setting,118,0,0,+0.0,exact
Set Count (Window),setting,119,2,0,+100.0,over
Set Count (Window),setting,120,0,0,+0.0,exact
Set Count (Window),setting,121,0,11,-100.0,under
Set Count (Window),setting,122,0,9,-100.0,under
Set Count (Window),setting,123,4,0,+100.0,over
Set Count (Window),setting,124,3,0,+100.0,over
Set Count (Window),setting,125,1,0,+100.0,over
Set Count (Window),setting,126,3,0,+100.0,over
Set Count (Window),setting,127,0,0,+0.0,exact
Set Count (Window),setting,128,11,0,+100.0,over
Set Count (Window),setting,129,6,0,+100.0,over
Set Count (Window),setting,130,5,0,+100.0,over
Set Count (Window),setting,131,5,0,+100.0,over
Set Count (Window),setting,132,0,0,+0.0,exact
Set Count (Window),setting,133,2,0,+100.0,over
Set Count (Window),setting,134,2,0,+100.0,over
Set Count (Window),setting,135,0,0,+0.0,exact
Set Count (Window),setting,136,1,0,+100.0,over
Set Count (Window),setting,137,0,0,+0.0,exact
Set Count (Window),setting,138,0,0,+0.0,exact
Set Count (Window),setting,139,1,0,+100.0,over
Set Count (Window),setting,140,0,0,+0.0,exact
Set Count (Window),setting,141,2,0,+100.0,over
Set Count (Window),setting,142,1,0,+100.0,over
Set Count (Window),setting,143,0,0,+0.0,exact
Set Count (Window),setting,144,0,0,+0.0,exact
Set Count (Window),setting,145,0,0,+0.0,exact
Set Count (Window),setting,146,0,0,+0.0,exact
Set Count (Window),setting,147,3,0,+100.0,over
Set Count (Window),setting,148,2,0,+100.0,over
Set Count (Window),setting,149,1,0,+100.0,over
Set Count (Window),setting,150,0,0,+0.0,exact
Set Count (Window),setting,151,1,0,+100.0,over
Set Count (Window),setting,152,1,0,+100.0,over
Set Count (Window),setting,153,0,0,+0.0,exact
Set Count (Window),setting,154,1,15,-87.5,under
Set Count (Window),setting,155,1,5,-66.7,under
Set Count (Window),setting,156,4,0,+100.0,over
Set Count (Window),setting,157,4,0,+100.0,over
Set Count (Window),setting,158,4,0,+100.0,over
Set Count (Window),setting,159,0,0,+0.0,exact
Set Count (Window),setting,160,1,12,-84.6,under
Set Count (Window),setting,161,0,8,-100.0,under
Set Count (Window),setting,162,2,0,+100.0,over
Set Count (Window),setting,163,3,0,+100.0,over
Set Count (Window),setting,164,3,0,+100.0,over
Set Count (Window),setting,165,6,0,+100.0,over
Set Count (Window),setting,166,2,9,-63.6,under
Set Count (Window),setting,167,0,11,-100.0,under
Set Count (Window),setting,168,0,0,+0.0,exact
Set Count (Window),setting,169,0,0,+0.0,exact
Set Count (Window),setting,170,0,0,+0.0,exact
Set Count (Window),setting,171,0,0,+0.0,exact
Set Count (Window),setting,172,1,6,-71.4,under
Set Count (Window),setting,173,2,14,-75.0,under
Set Count (Window),setting,174,0,0,+0.0,exact
Set Count (Window),setting,175,5,0,+100.0,over
Set Count (Window),setting,176,5,0,+100.0,over
Set Count (Window),setting,177,1,0,+100.0,over
Set Count (Window),setting,178,1,0,+100.0,over
Set Count (Window),setting,179,4,0,+100.0,over
Set Count (Window),setting,180,1,0,+100.0,over
Set Count (Window),setting,181,1,0,+100.0,over
Set Count (Window),setting,182,0,1,-100.0,under
Set Count (Window),setting,183,3,19,-72.7,under
Set Count (Window),setting,184,6,0,+100.0,over
Set Count (Window),setting,185,5,0,+100.0,over
Set Count (Window),setting,186,4,0,+100.0,over
Set Count (Window),setting,187,1,0,+100.0,over
Set Count (Window),setting,188,1,0,+100.0,over
Set Count (Window),setting,189,1,0,+100.0,over
Set Count (Window),setting,190,1,0,+100.0,over
Set Count (Window),setting,191,5,0,+100.0,over
Set Count (Window),setting,192,2,0,+100.0,over
Set Count (Window),setting,193,0,0,+0.0,exact
Set Count (Window),setting,194,0,0,+0.0,exact
Set Count (Window),setting,195,0,15,-100.0,under
Set Count (Window),setting,196,0,5,-100.0,under
Set Count (Window),setting,197,1,0,+100.0,over
Set Count (Window),setting,198,1,0,+100.0,over
Set Count (Window),setting,199,0,0,+0.0,exact
Block Count (Window),blocking,0,20,0,+100.0,over
Block Count (Window),blocking,1,20,0,+100.0,over
Block Count (Window),blocking,2,20,9,+37.9,over
Block Count (Window),blocking,3,20,11,+29.0,over
Block Count (Window),blocking,4,20,0,+100.0,over
